# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.000934985
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	[D_ell^TT]	[D_ell^TE]	[D_ell^EE]
5.700000000000000000e+01 1.418644353397152599e+03 -9.989472775522885151e-01 1.593611973262349657e-01
5.800000000000000000e+01 1.439103979017266511e+03 -1.250456727976467786e+00 1.681543743044234263e-01
5.900000000000000000e+01 1.459761648423322640e+03 -1.514442511929324553e+00 1.772125751362828294e-01
6.000000000000000000e+01 1.480605328101025179e+03 -1.790809408284330884e+00 1.865344998843412594e-01
6.100000000000000000e+01 1.501621662409787632e+03 -2.079442983607056483e+00 1.961182932195116857e-01
6.200000000000000000e+01 1.522819169630268107e+03 -2.380251132548438342e+00 2.059609998074824477e-01
6.300000000000000000e+01 1.544209315178650513e+03 -2.693130314242267787e+00 2.160589705394073690e-01
6.400000000000000000e+01 1.565799390142239645e+03 -3.017952893357743971e+00 2.264080022795122993e-01
6.500000000000000000e+01 1.587592200577354106e+03 -3.354566656914575340e+00 2.370033238724619795e-01
6.600000000000000000e+01 1.609585756807215830e+03 -3.702794331098077318e+00 2.478395821507262953e-01
6.700000000000000000e+01 1.631772962719842781e+03 -4.062433098074267335e+00 2.589108279419475855e-01
6.800000000000000000e+01 1.654146301073314589e+03 -4.433287101873368385e+00 2.702107201311133577e-01
6.900000000000000000e+01 1.676713686346932718e+03 -4.815273694543856564e+00 2.817332171393587825e-01
7.000000000000000000e+01 1.699485280695301071e+03 -5.208337949165985137e+00 2.934720010637670295e-01
7.100000000000000000e+01 1.722468602508001823e+03 -5.612421929656596475e+00 3.054202637546889476e-01
7.200000000000000000e+01 1.745668343482610908e+03 -6.027465051294403686e+00 3.175706983999593835e-01
7.300000000000000000e+01 1.769086185697714200e+03 -6.453404441245295331e+00 3.299154911091128350e-01
7.400000000000000000e+01 1.792720618685923000e+03 -6.890175299087603733e+00 3.424463124975992701e-01
7.500000000000000000e+01 1.816566756506891807e+03 -7.337711257337403481e+00 3.551543092710004457e-01
7.600000000000000000e+01 1.840619546021130191e+03 -7.795905364470389287e+00 3.680303305308348927e-01
7.700000000000000000e+01 1.864884471502416318e+03 -8.264484022936191110e+00 3.810656729386135977e-01
7.800000000000000000e+01 1.889368478790887366e+03 -8.743110611332237880e+00 3.942514567775829426e-01
7.900000000000000000e+01 1.914076645711862056e+03 -9.231422382838053053e+00 4.075783997416181359e-01
8.000000000000000000e+01 1.939012068688180307e+03 -9.729030018272927904e+00 4.210368133325945728e-01
8.100000000000000000e+01 1.964175749352534694e+03 -1.023551717915363213e+01 4.346165992577608050e-01
8.200000000000000000e+01 1.989566481159807836e+03 -1.075044006075206759e+01 4.483072458271103455e-01
8.300000000000000000e+01 2.015180735999408853e+03 -1.127332694515298250e+01 4.620978243507540273e-01
8.400000000000000000e+01 2.041014656153073474e+03 -1.180371490502951026e+01 4.759771308082658692e-01
8.500000000000000000e+01 2.067070657961788584e+03 -1.234126788518169349e+01 4.899341457328261207e-01
8.600000000000000000e+01 2.093351720106326866e+03 -1.288567746798497282e+01 5.039576443153613861e-01
8.700000000000000000e+01 2.119859298743421732e+03 -1.343662763797456172e+01 5.180360567671244976e-01
8.800000000000000000e+01 2.146593249502059280e+03 -1.399379495928491224e+01 5.321574671586132288e-01
8.900000000000000000e+01 2.173551749479770933e+03 -1.455684875308923765e+01 5.463096122584872871e-01
9.000000000000000000e+01 2.200731219238929043e+03 -1.512545127503899600e+01 5.604798803724873046e-01
9.100000000000000000e+01 2.228126244803033387e+03 -1.569925789270339145e+01 5.746553101823516085e-01
9.200000000000000000e+01 2.255729499653011317e+03 -1.627791726300887731e+01 5.888225895847359892e-01
9.300000000000000000e+01 2.283534007353728157e+03 -1.686106301168692667e+01 6.029683338593454511e-01
9.400000000000000000e+01 2.311540488130014637e+03 -1.744828695471826308e+01 6.170799705521384793e-01
9.500000000000000000e+01 2.339750978136421963e+03 -1.803916215871968021e+01 6.311449861511559956e-01
9.600000000000000000e+01 2.368166542018531345e+03 -1.863325114005218808e+01 6.451506612529727125e-01
9.700000000000000000e+01 2.396787227038699712e+03 -1.923010592561000109e+01 6.590840732359229959e-01
9.800000000000000000e+01 2.425612017201795425e+03 -1.982926811360951547e+01 6.729320989333253955e-01
9.900000000000000000e+01 2.454638787380938993e+03 -2.043026893437822267e+01 6.866814173067057325e-01
1.000000000000000000e+02 2.483864257443243787e+03 -2.103262931114369749e+01 7.003185121190224072e-01
1.010000000000000000e+02 2.513283946375556297e+03 -2.163585992082257548e+01 7.138296746078901522e-01
1.020000000000000000e+02 2.542892126410194578e+03 -2.223946125480945923e+01 7.272010061588044527e-01
1.030000000000000000e+02 2.572681777150688958e+03 -2.284292367976593852e+01 7.404184209783661874e-01
1.040000000000000000e+02 2.602646044354898095e+03 -2.344573604525956867e+01 7.534680049182048700e-01
1.050000000000000000e+02 2.632782939518622698e+03 -2.404741270000300091e+01 7.663371413927163589e-01
1.060000000000000000e+02 2.663091192569897885e+03 -2.464747025543246650e+01 7.790135432480999045e-01
1.070000000000000000e+02 2.693568774916755046e+03 -2.524541951759700353e+01 7.914849167010445941e-01
1.080000000000000000e+02 2.724212870107657636e+03 -2.584076564186886316e+01 8.037389679256978781e-01
1.090000000000000000e+02 2.755019844491944241e+03 -2.643300828765391941e+01 8.157634096406336521e-01
