# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 9.951140073e-01
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]	  [D_ell^TT]      [D_ell^TE]	[D_ell^EE]
2.570000000000000000e+02 5.147977288660536033e+03 7.168462698715828196e+01 3.010230219249341310e+00
2.580000000000000000e+02 5.128377946053186861e+03 7.315979152756789006e+01 3.108278299690844015e+00
2.590000000000000000e+02 5.108309738565447333e+03 7.462034131320942265e+01 3.208606121156467150e+00
2.600000000000000000e+02 5.087779455599924404e+03 7.606565095662956821e+01 3.311211308015959531e+00
2.610000000000000000e+02 5.066794099467396336e+03 7.749508986533517430e+01 3.416090653663962584e+00
2.620000000000000000e+02 5.045360886912670139e+03 7.890802224484814076e+01 3.523240110798948610e+00
2.630000000000000000e+02 5.023487250640421735e+03 8.030380710176082459e+01 3.632654781702148838e+00
2.640000000000000000e+02 5.001180840841047029e+03 8.168179824679093315e+01 3.744328908516486365e+00
2.650000000000000000e+02 4.978449526716512082e+03 8.304134429783674420e+01 3.858255863525506424e+00
2.660000000000000000e+02 4.955301398006200543e+03 8.438178868303215552e+01 3.974428139432312435e+00
2.670000000000000000e+02 4.931744766512757451e+03 8.570246964380184806e+01 4.092837339638492722e+00
2.680000000000000000e+02 4.907788167627951225e+03 8.700272023791643505e+01 4.213474168523058339e+00
2.690000000000000000e+02 4.883440361858507458e+03 8.828186834254742621e+01 4.336328421721368898e+00
2.700000000000000000e+02 4.858710336351966362e+03 8.953923665732261838e+01 4.461388976404074391e+00
2.710000000000000000e+02 4.833607306422531110e+03 9.077414270738094615e+01 4.588643781556036139e+00
2.720000000000000000e+02 4.808140717076909823e+03 9.198589884642764503e+01 4.718079848255261055e+00
2.730000000000000000e+02 4.782320244540176645e+03 9.317381225978957104e+01 4.849683239951843916e+00
2.740000000000000000e+02 4.756155797781606452e+03 9.433718496747007976e+01 4.983439062746888304e+00
2.750000000000000000e+02 4.729657520040531381e+03 9.547531382720416104e+01 5.119331455671438214e+00
2.760000000000000000e+02 4.702835790352190998e+03 9.658749053751377289e+01 5.257343580965421204e+00
2.770000000000000000e+02 4.675701225073572459e+03 9.767300164076266356e+01 5.397457614356567568e+00
2.780000000000000000e+02 4.648264679409269775e+03 9.873112852621173374e+01 5.539654735339352598e+00
2.790000000000000000e+02 4.620536663729316388e+03 9.976120414231816369e+01 5.683914080194267804e+00
2.800000000000000000e+02 4.592525555910665389e+03 1.007627863796657692e+02 5.830209561003359298e+00
2.810000000000000000e+02 4.564239299352015223e+03 1.017354936767382299e+02 5.978512862893389013e+00
