# no y_p (polarization efficiency) factor has been applied here
# the best-fit y_p = 1.001913951
# this should be applied to TE and to EE (squared) for any comparison to ACT data
# columns (all units are uK^2):
# [ell]   [D_ell^TT]      [D_ell^TE]    [D_ell^EE]
9.300000000000000000e+01 2.473047506147159311e+03 -1.845043617027884153e+01 6.611869682339895915e-01
9.400000000000000000e+01 2.502905893007123723e+03 -1.909005946721696390e+01 6.764929787747796519e-01
9.500000000000000000e+01 2.532979594225784695e+03 -1.973350960568626178e+01 6.917445250242648669e-01
9.600000000000000000e+01 2.563269789666774614e+03 -2.038030991026700534e+01 7.069277767420051317e-01
9.700000000000000000e+01 2.593776528923296155e+03 -2.102997273257662059e+01 7.220286849810956253e-01
9.800000000000000000e+01 2.624498680412466456e+03 -2.168199953226573129e+01 7.370329849966955615e-01
9.900000000000000000e+01 2.655433880469647193e+03 -2.233588095801432516e+01 7.519261991545589385e-01
1.000000000000000000e+02 2.686578482442797394e+03 -2.299109692852787745e+01 7.666936398395622909e-01
1.010000000000000000e+02 2.717927505786803067e+03 -2.364711671353346389e+01 7.813204123642372156e-01
1.020000000000000000e+02 2.749474585157820002e+03 -2.430339901477589493e+01 7.957914178772970137e-01
1.030000000000000000e+02 2.781211919507616585e+03 -2.495939204701383218e+01 8.100913562721682171e-01
1.040000000000000000e+02 2.813131882525160108e+03 -2.561454298738717839e+01 8.242051364887118536e-01
1.050000000000000000e+02 2.845232211364595059e+03 -2.626832760281479295e+01 8.381191642772040096e-01
1.060000000000000000e+02 2.877511427199080117e+03 -2.692022479445778771e+01 8.518202346246530610e-01
1.070000000000000000e+02 2.909967204209586725e+03 -2.756970776846810267e+01 8.652951471921143112e-01
1.080000000000000000e+02 2.942596336935802356e+03 -2.821624421993368514e+01 8.785307137000663014e-01
1.090000000000000000e+02 2.975394707627034677e+03 -2.885929651682388197e+01 8.915137653137904516e-01
1.100000000000000000e+02 3.008357253593112091e+03 -2.949832188393457244e+01 9.042311600287461504e-01
1.110000000000000000e+02 3.041477934555286993e+03 -3.013277258683347171e+01 9.166697900559515055e-01
1.120000000000000000e+02 3.074749699997142216e+03 -3.076209611580544490e+01 9.288165892073600993e-01
1.130000000000000000e+02 3.108164456515490656e+03 -3.138573536979768264e+01 9.406585402812388530e-01
1.140000000000000000e+02 3.141713035171280808e+03 -3.200312884036500805e+01 9.521826824475455586e-01
1.150000000000000000e+02 3.175385158840496842e+03 -3.261371079561514819e+01 9.633761186333079651e-01
1.160000000000000000e+02 3.209170891934669726e+03 -3.321691744159159043e+01 9.742263739597649685e-01
1.170000000000000000e+02 3.243065259325358966e+03 -3.381220586300597120e+01 9.847225047039690482e-01
1.180000000000000000e+02 3.277064130297625979e+03 -3.439903774148307747e+01 9.948541386622643534e-01
1.190000000000000000e+02 3.311162767098901895e+03 -3.497687381839535448e+01 1.004611146537842448e+00
1.200000000000000000e+02 3.345355805396607593e+03 -3.554517413165911677e+01 1.013983652430026972e+00
1.210000000000000000e+02 3.379637234735776019e+03 -3.610339825253062429e+01 1.022962044323557640e+00
1.220000000000000000e+02 3.414000378996669951e+03 -3.665100552240237874e+01 1.031536984577874350e+00
1.230000000000000000e+02 3.448437876852399313e+03 -3.718745528959917834e+01 1.039699420416399844e+00
1.240000000000000000e+02 3.482941662226544850e+03 -3.771220714617437864e+01 1.047440594415825821e+00
1.250000000000000000e+02 3.517502944750774532e+03 -3.822472116470596859e+01 1.054752054995394817e+00
1.260000000000000000e+02 3.552112190222458594e+03 -3.872445813509278167e+01 1.061625666906183874e+00
1.270000000000000000e+02 3.586759101062301852e+03 -3.921087980135072115e+01 1.068053621720390423e+00
1.280000000000000000e+02 3.621432596771948283e+03 -3.968344909840882906e+01 1.074028448320614615e+00
1.290000000000000000e+02 3.656121903512092103e+03 -4.014163602617414739e+01 1.079543326674649695e+00
1.300000000000000000e+02 3.690819999486864617e+03 -4.058493549732985883e+01 1.084593045798092570e+00
1.310000000000000000e+02 3.725520512350754416e+03 -4.101285190407101311e+01 1.089173171193110523e+00
1.320000000000000000e+02 3.760216632476709037e+03 -4.142489393075234716e+01 1.093279763518110403e+00
1.330000000000000000e+02 3.794901101350220870e+03 -4.182057483102273210e+01 1.096909391247223864e+00
1.340000000000000000e+02 3.829566199963406234e+03 -4.219941270495959174e+01 1.100059143329792155e+00
1.350000000000000000e+02 3.864203737209083556e+03 -4.256093077620322873e+01 1.102726641849847811e+00
1.360000000000000000e+02 3.898805038274860635e+03 -4.290465766909131418e+01 1.104910054685602327e+00
1.370000000000000000e+02 3.933360933037203267e+03 -4.323012768579324927e+01 1.106608108168927185e+00
1.380000000000000000e+02 3.967861744455533426e+03 -4.353688108344461938e+01 1.107820099744841746e+00
1.390000000000000000e+02 4.002297276966292429e+03 -4.382446435128149176e+01 1.108545910630992504e+00
1.400000000000000000e+02 4.036656804877035484e+03 -4.409243048777496199e+01 1.108786018477143420e+00
1.410000000000000000e+02 4.070929060760503944e+03 -4.434033927776543749e+01 1.108541510024655175e+00
1.420000000000000000e+02 4.105102223848707581e+03 -4.456775756959713419e+01 1.107814093765972174e+00
1.430000000000000000e+02 4.139163908427010938e+03 -4.477425955225240273e+01 1.106606112604106018e+00
1.440000000000000000e+02 4.173102153816686950e+03 -4.495943120878145294e+01 1.104920647000429135e+00
1.450000000000000000e+02 4.206908528822053086e+03 -4.512288358635512253e+01 1.102761809153342210e+00
1.460000000000000000e+02 4.240575312702741940e+03 -4.526424136737190196e+01 1.100134502021802518e+00
1.470000000000000000e+02 4.274094515269645854e+03 -4.538313910910684967e+01 1.097044344504109370e+00
1.480000000000000000e+02 4.307457871035247081e+03 -4.547922154484768953e+01 1.093497684617432908e+00
1.490000000000000000e+02 4.340656833363962505e+03 -4.555214388503092948e+01 1.089501612677350462e+00
1.500000000000000000e+02 4.373682568622475628e+03 -4.560157211837795188e+01 1.085063974477374460e+00
1.510000000000000000e+02 4.406525950330073101e+03 -4.562718331303116770e+01 1.080193384468487894e+00
1.520000000000000000e+02 4.439177553308983079e+03 -4.562866591769003577e+01 1.074899238938674229e+00
1.530000000000000000e+02 4.471627647834709933e+03 -4.560572006274721701e+01 1.069191729192450424e+00
1.540000000000000000e+02 4.503866193786368967e+03 -4.555805786142465763e+01 1.063081854730397735e+00
1.550000000000000000e+02 4.535882834797029318e+03 -4.548540371090973622e+01 1.056581436428696286e+00
1.560000000000000000e+02 4.567666892404039572e+03 -4.538749459349125459e+01 1.049703129718653205e+00
1.570000000000000000e+02 4.599207360199377035e+03 -4.526408037769568438e+01 1.042460437766238535e+00
1.580000000000000000e+02 4.630492897979971531e+03 -4.511492411942315073e+01 1.034867724651615806e+00
1.590000000000000000e+02 4.661511825898054667e+03 -4.493980236308360077e+01 1.026940228548673062e+00
1.600000000000000000e+02 4.692252118611481819e+03 -4.473850544273287255e+01 1.018694074904555213e+00
1.610000000000000000e+02 4.722702221415520398e+03 -4.451083680320307678e+01 1.010145920511208217e+00
1.620000000000000000e+02 4.752853592025102444e+03 -4.425661026382952912e+01 1.001311822679399777e+00
1.630000000000000000e+02 4.782698373435953727e+03 -4.397565308713936361e+01 9.922082947853286816e-01
1.640000000000000000e+02 4.812228590108132266e+03 -4.366780723136192677e+01 9.828526777744548415e-01
1.650000000000000000e+02 4.841436145898201175e+03 -4.333292964705609762e+01 9.732631516428100760e-01
1.660000000000000000e+02 4.870312821991395140e+03 -4.297089257373737325e+01 9.634587469183129027e-01
1.670000000000000000e+02 4.898850274833788717e+03 -4.258158383650517465e+01 9.534593561420788843e-01
1.680000000000000000e+02 4.927040034064471001e+03 -4.216490714267006723e+01 9.432857453497346389e-01
1.690000000000000000e+02 4.954873500447707556e+03 -4.172078237838090331e+01 9.329595655527301856e-01
1.700000000000000000e+02 4.982341943805116898e+03 -4.124914590525216340e+01 9.225033642196514005e-01
1.710000000000000000e+02 5.009436500947837885e+03 -4.074995085699104891e+01 9.119405967575324734e-01
1.720000000000000000e+02 5.036148173608697107e+03 -4.022316743602478084e+01 9.012956379931695849e-01
1.730000000000000000e+02 5.062467826374386277e+03 -3.966878321012780617e+01 8.905937936544319200e-01
1.740000000000000000e+02 5.088386184617613253e+03 -3.908680340904898287e+01 8.798613118515755671e-01
1.750000000000000000e+02 5.113893832429299437e+03 -3.847725122113883600e+01 8.691253945585555307e-01
1.760000000000000000e+02 5.138981210550718970e+03 -3.784016808997674985e+01 8.584142090943379655e-01
1.770000000000000000e+02 5.163638614305699775e+03 -3.717561401099822405e+01 8.477568996042147420e-01
1.780000000000000000e+02 5.187856191532757293e+03 -3.648366782812203724e+01 8.371835985411129055e-01
1.790000000000000000e+02 5.211623940517299161e+03 -3.576442753037750322e+01 8.267254381469097968e-01
1.800000000000000000e+02 5.234932359126552910e+03 -3.501800042946001668e+01 8.164134490010032108e-01
1.810000000000000000e+02 5.257774454234780023e+03 -3.424447219967018441e+01 8.062751337760425407e-01
1.820000000000000000e+02 5.280143888424650868e+03 -3.344393594090631439e+01 7.963376425499572031e-01
1.830000000000000000e+02 5.302034343466410064e+03 -3.261650233408761324e+01 7.866288685939308856e-01
1.840000000000000000e+02 5.323439520648601501e+03 -3.176229990051045959e+01 7.771774557545176876e-01
1.850000000000000000e+02 5.344353141108756972e+03 -3.088147526120462061e+01 7.680128058357525989e-01
1.860000000000000000e+02 5.364768946164108456e+03 -2.997419339628946844e+01 7.591650859812643093e-01
1.870000000000000000e+02 5.384680697642295854e+03 -2.904063790433023939e+01 7.506652360563886850e-01
1.880000000000000000e+02 5.404082178212078361e+03 -2.808101126169427886e+01 7.425449760302824664e-01
1.890000000000000000e+02 5.422967191714027649e+03 -2.709553508190724003e+01 7.348368133580341910e-01
1.900000000000000000e+02 5.441329563491249246e+03 -2.608445037500937147e+01 7.275740503627782241e-01
1.910000000000000000e+02 5.459163140720073898e+03 -2.504801780691170876e+01 7.207907916178080132e-01
1.920000000000000000e+02 5.476461792740778947e+03 -2.398651795875232651e+01 7.145219513286870106e-01
1.930000000000000000e+02 5.493219411388289700e+03 -2.290025158625260815e+01 7.088032607153641473e-01
1.940000000000000000e+02 5.509429911322875341e+03 -2.178953987907339140e+01 7.036712753942836462e-01
